,address,checkin_num,comment_num,detail,detail_url,facility_rating,favorite_num,hygiene_rating,image_num,indoor_floor,lat,lng,name,overall_rating,price,service_rating,street_id,tag,telephone,type,uid
0,上海市浦东新区白杨路260号(近龙阳路),0,55,1,http://api.map.baidu.com/place/detail?uid=0ed20a154749988e57bfff17&output=html&source=placeapi_v2,4.1,0,4.2,65,,31.213653108182,121.56169440218,锦江之星酒店(磁悬浮总站店),3.9,322.0,4.2,0ed20a154749988e57bfff17,酒店;快捷酒店,(021)51099066,hotel,0ed20a154749988e57bfff17
0,徐汇区肇嘉浜路7号(瑞金南路附近),0,68,1,http://api.map.baidu.com/place/detail?uid=0a46dc0f1500cc20306212c3&output=html&source=placeapi_v2,4.0,0,4.2,149,,31.209888803923,121.47225839677,上海徐汇瑞峰酒店,4.0,256.0,4.1,0a46dc0f1500cc20306212c3,酒店;其他,(021)54077000,hotel,0a46dc0f1500cc20306212c3
0,上海黄浦区豫园中华路99号(豫园东南方向460米),0,23,1,http://api.map.baidu.com/place/detail?uid=53d79e961af2a7e975e5b633&output=html&source=placeapi_v2,4.2,0,4.5,115,,31.228992481616,121.5049185106,富饶商务宾馆,4.3,80.0,4.4,53d79e961af2a7e975e5b633,酒店;其他,(021)63333121,hotel,53d79e961af2a7e975e5b633
0,宁波路50号2层,0,117,1,http://api.map.baidu.com/place/detail?uid=060f5e53e7bfdcce081cc717&output=html&source=placeapi_v2,4.6,0,4.7,217,,31.245371298024,121.49287371573,莫泰酒店(上海外滩店),4.1,189.0,4.7,060f5e53e7bfdcce081cc717,酒店;快捷酒店,,hotel,060f5e53e7bfdcce081cc717
0,浦东新区北张家浜路151号,0,27,1,http://api.map.baidu.com/place/detail?uid=0523a1410811b604b23c8117&output=html&source=placeapi_v2,3.9,0,4.1,37,,31.223199333292,121.53180421061,上海南泉大酒店,4.0,248.0,4.1,0523a1410811b604b23c8117,酒店;星级酒店,021-58202020,hotel,0523a1410811b604b23c8117
0,上海市黄浦区四川中路630号(香港路口),0,81,1,http://api.map.baidu.com/place/detail?uid=75d0881a8dc14a543b04b196&output=html&source=placeapi_v2,4.3,0,4.5,115,,31.248171847071,121.4927790167,锦江之星酒店(外滩滨江店),4.4,278.0,4.5,75d0881a8dc14a543b04b196,酒店;快捷酒店,(021)60879889,hotel,75d0881a8dc14a543b04b196
0,上海南京西路1856号4楼,0,48,1,http://api.map.baidu.com/place/detail?uid=241c80db3548a3b488f15da0&output=html&source=placeapi_v2,4.7,0,4.7,118,,31.228291,121.449799,浦江精选酒店(上海南京西路店),4.7,89.0,4.7,241c80db3548a3b488f15da0,酒店;其他,(021)52562919,hotel,241c80db3548a3b488f15da0
0,"西藏南路381号(会稽路口,近新天地,近淮海路商业街)",0,66,1,http://api.map.baidu.com/place/detail?uid=dbf4d6eed4b9b4336fa3cc1f&output=html&source=placeapi_v2,3.5,0,3.8,310,,31.22803297995,121.48807781608,华美国际酒店,3.4,243.0,3.8,dbf4d6eed4b9b4336fa3cc1f,酒店;其他,(021)53838588,hotel,dbf4d6eed4b9b4336fa3cc1f
0,上海市威海路155弄20号(近成都北路口),0,210,1,http://api.map.baidu.com/place/detail?uid=2cc3c8e8969159cf4d2fdf1a&output=html&source=placeapi_v2,4.1,0,4.4,299,,31.233446358155,121.4748550791,24K国际连锁酒店威海店,4.2,138.0,4.3,2cc3c8e8969159cf4d2fdf1a,酒店;快捷酒店,"(021)51181222,(021)51579158",hotel,2cc3c8e8969159cf4d2fdf1a
0,沪星路318号一楼,0,119,1,http://api.map.baidu.com/place/detail?uid=aa65a57d0250a23e1fe99906&output=html&source=placeapi_v2,4.6,0,4.7,676,,31.17113230671,121.34421151113,和颐酒店,4.6,219.0,4.6,aa65a57d0250a23e1fe99906,酒店;快捷酒店,(021)64785678,hotel,aa65a57d0250a23e1fe99906
