,address,comment_num,detail,detail_url,di_review_keyword,groupon_num,indoor_floor,lat,lng,name,overall_rating,price,street_id,tag,telephone,type,uid
0,武宁路101号F5层L5-06,3086,1,http://api.map.baidu.com/place/detail?uid=0c871b50ce7064cb841541f3&output=html&source=placeapi_v2,[],1,F5,31.24356499995,121.42973714487,上上谦串串香火锅(我格广场店),4.9,70.0,0c871b50ce7064cb841541f3,美食;中餐厅,"(021)52659777,4008877773",cater,0c871b50ce7064cb841541f3
0,上海市黄浦区淮海中路588号(近成都南路),4001,1,http://api.map.baidu.com/place/detail?uid=5c56edd675123b43a1d230c5&output=html&source=placeapi_v2,[],,,31.226469960435,121.47410196787,光明邨大酒家,4,30.0,5c56edd675123b43a1d230c5,美食;中餐厅,,cater,5c56edd675123b43a1d230c5
0,浦东新区张杨路620号中融恒瑞大厦6层,5269,1,http://api.map.baidu.com/place/detail?uid=5b25f446328a64f31029356a&output=html&source=placeapi_v2,[],,,31.233852726899,121.52648835481,海底捞(张杨路店),5.0,117.0,5b25f446328a64f31029356a,美食;中餐厅,021-38713937,cater,5b25f446328a64f31029356a
0,浦东南路999号新梅联合广场4层401B,8970,1,http://api.map.baidu.com/place/detail?uid=c879fa018ff02b53c909f031&output=html&source=placeapi_v2,[],1,F4,31.236018436559,121.52303538341,上上谦串串香火锅,4.1,107.0,c879fa018ff02b53c909f031,美食;中餐厅,02158559777,cater,c879fa018ff02b53c909f031
0,龙华西路585号,6773,1,http://api.map.baidu.com/place/detail?uid=046d65354a74c66446e27409&output=html&source=placeapi_v2,[],1,,31.183850819873,121.44771176232,上上谦串串香火锅(徐汇旗舰店),4.5,107.0,046d65354a74c66446e27409,美食;中餐厅,"(021)54108888,4008877773",cater,046d65354a74c66446e27409
0,长寿路468号中环商务大厦4层401室,4969,1,http://api.map.baidu.com/place/detail?uid=be54cde978e60c4179f7969b&output=html&source=placeapi_v2,[],,,31.246421982282,121.44354002237,海底捞(长寿路店),5.0,118.5,be54cde978e60c4179f7969b,美食;中餐厅,021-62770701,cater,be54cde978e60c4179f7969b
0,黄浦区打浦路1号金玉兰广场4层,3847,1,http://api.map.baidu.com/place/detail?uid=2ad32cc3ab1cc1969d95dec4&output=html&source=placeapi_v2,[],,,31.210515337811,121.47712055169,海底捞(打浦路店),4.8,118.5,2ad32cc3ab1cc1969d95dec4,美食;中餐厅,021-53960357,cater,2ad32cc3ab1cc1969d95dec4
0,上海市浦东新区世纪大道1号东方明珠8号门国际新闻中心1楼(近二号线陆家嘴站),374,1,http://api.map.baidu.com/place/detail?uid=b7021bf86628cce3f5e73bef&output=html&source=placeapi_v2,[],1,,31.245338075179,121.50745655244,老上海8号餐厅,4.2,80.0,b7021bf86628cce3f5e73bef,美食;中餐厅,,cater,b7021bf86628cce3f5e73bef
0,上海黄浦区云南中路41号近延安高架路,3563,1,http://api.map.baidu.com/place/detail?uid=c21db9e5e393aa9a01ff2d8d&output=html&source=placeapi_v2,[],,,31.235913758368,121.48531003023,上海人家黄浦店,4.6,139.0,c21db9e5e393aa9a01ff2d8d,美食;中餐厅,"(021)63513060,(021)63515021",cater,c21db9e5e393aa9a01ff2d8d
0,上海市静安区北京西路1068号3层、江宁路167号3层,3476,1,http://api.map.baidu.com/place/detail?uid=9f97b1c58af6b41fb74f5499&output=html&source=placeapi_v2,[],,,31.236724263922,121.46143306978,海底捞火锅(北京西路店),4.6,118.5,9f97b1c58af6b41fb74f5499,美食;中餐厅,021-62589750,cater,9f97b1c58af6b41fb74f5499
0,上海市长宁区东诸安浜路103号维景酒店公寓1-2楼,6633,1,http://api.map.baidu.com/place/detail?uid=69fcd6df8adc0736cb29159f&output=html&source=placeapi_v2,[],,,31.224648479847,121.44050665396,唐宫海鲜舫(镇宁路店),4.1,124.0,69fcd6df8adc0736cb29159f,美食;中餐厅,"021-62516148,021-62513960",cater,69fcd6df8adc0736cb29159f
0,西藏中路525号雅居乐国际广场4楼(黄河),14174,1,http://api.map.baidu.com/place/detail?uid=63eb307e165e4007631c6746&output=html&source=placeapi_v2,[],1,F4,31.24249676054,121.47920230734,鑫海汇自助烤肉,4.3,80.0,63eb307e165e4007631c6746,美食;外国餐厅,"021-53513837,021-53513926",cater,63eb307e165e4007631c6746
0,南京东路299号宏伊国际广场6层S604,5195,1,http://api.map.baidu.com/place/detail?uid=38e48037ffddc950363a718f&output=html&source=placeapi_v2,[],,F6,31.24266738277,121.49165120778,望湘园(宏伊店),4.1,82.0,38e48037ffddc950363a718f,美食;中餐厅,,cater,38e48037ffddc950363a718f
0,虹口区大连路895号,3517,1,http://api.map.baidu.com/place/detail?uid=fa01e937190b0353774ff1ff&output=html&source=placeapi_v2,[],,,31.270492552928,121.51349564454,苏浙汇(大连路店),4.5,145.0,fa01e937190b0353774ff1ff,美食;中餐厅,021-55955385,cater,fa01e937190b0353774ff1ff
0,普陀区西康路1068号维多利广场内,3510,1,http://api.map.baidu.com/place/detail?uid=9ee7cc7884c7416917c905e3&output=html&source=placeapi_v2,[],,,31.247587556001,121.4479812151,顺风大酒店(西康店),4.3,124.0,9ee7cc7884c7416917c905e3,美食;中餐厅,,cater,9ee7cc7884c7416917c905e3
