,address,comment_num,detail,detail_url,environment_rating,groupon_num,image_num,indoor_floor,lat,lng,name,overall_rating,price,service_rating,street_id,tag,telephone,type,uid
0,黄浦区 徐家汇路550号宝鼎大厦4楼(近打浦路),583,1,http://api.map.baidu.com/place/detail?uid=e6ee2fd2eb34e1512b11d119&output=html&source=placeapi_v2,,,215,,31.211716094646,121.4768658731,自由港量贩式KTV(打浦店),4.3,83,,e6ee2fd2eb34e1512b11d119,休闲娱乐;ktv,,life,e6ee2fd2eb34e1512b11d119
0,上海市黄浦区淮海中路99号大上海市时代广场6层,154,1,http://api.map.baidu.com/place/detail?uid=669775d03e8c1242fd0eb066&output=html&source=placeapi_v2,0,,,F6,31.230717378608,121.48626725111,万裕国际影城(淮海店),4.6,40,0,669775d03e8c1242fd0eb066,休闲娱乐;电影院,(021)63910363,life,669775d03e8c1242fd0eb066
0,人民大道300号上海今申音像广场,108,1,http://api.map.baidu.com/place/detail?uid=7c5e480b40e857b5acb22aa8&output=html&source=placeapi_v2,,,90,,31.235072368983,121.47948002747,上海大剧院,4,228,,7c5e480b40e857b5acb22aa8,休闲娱乐;剧院,,life,7c5e480b40e857b5acb22aa8
0,上海平型关路1222号4楼,129,1,http://api.map.baidu.com/place/detail?uid=5385304d900c9f1f626858ca&output=html&source=placeapi_v2,,,428,,31.289507777507,121.46331951135,上海大宁剧院,4,346,,5385304d900c9f1f626858ca,休闲娱乐;剧院,(021)36368807,life,5385304d900c9f1f626858ca
0,上海市松江区文诚路500弄1号4层,320,1,http://api.map.baidu.com/place/detail?uid=6fec2cade4695de40aa8d480&output=html&source=placeapi_v2,0,,,,31.039464613185,121.223768381,太平洋电影城(松江店),5,29,0,6fec2cade4695de40aa8d480,休闲娱乐;电影院,"(021)57731360,(021)67831533,(021)67868719",life,6fec2cade4695de40aa8d480
0,上海市黄浦区顺昌路2号2楼,87,1,http://api.map.baidu.com/place/detail?uid=bd5046e80b44ed58d72ce263&output=html&source=placeapi_v2,,,21,,31.227739184633,121.48296939399,好乐迪(新天地旗舰店),4.3,137,,bd5046e80b44ed58d72ce263,休闲娱乐;ktv,(021)63115858,life,bd5046e80b44ed58d72ce263
0,黄浦区淮海中路438号3楼(近重庆南路),182,1,http://api.map.baidu.com/place/detail?uid=2ad32cc3a871cc969d95de63&output=html&source=placeapi_v2,,,54,,31.227804554056,121.47729943307,好乐迪(淮海店),4.6,90,,2ad32cc3a871cc969d95de63,休闲娱乐;ktv,,life,2ad32cc3a871cc969d95de63
0,上海市黄浦区苗江路800号近西藏南路,23,1,http://api.map.baidu.com/place/detail?uid=88a142c136fba132fea778ed&output=html&source=placeapi_v2,0,,,,31.202299607391,121.500889075,大光明剧场(儿艺店),4,45,0,88a142c136fba132fea778ed,休闲娱乐;剧院,(021)63391622,life,88a142c136fba132fea778ed
0,黄浦区南京东路479号新世界先施休闲港湾6-7楼（近福建中路）,146,1,http://api.map.baidu.com/place/detail?uid=46e86fddb4641076d13ce363&output=html&source=placeapi_v2,,,42,,31.241324714762,121.48779833649,好乐迪(南东店),4.1,90,,46e86fddb4641076d13ce363,休闲娱乐;ktv,,life,46e86fddb4641076d13ce363
0,南京西路1376号上海商城4层,80,1,http://api.map.baidu.com/place/detail?uid=669775d0660d2a5afc0eb089&output=html&source=placeapi_v2,,,518,,31.232829981919,121.45822263278,上海商城剧院,4.5,254,,669775d0660d2a5afc0eb089,休闲娱乐;剧院,,life,669775d0660d2a5afc0eb089
0,江宁路167号食博汇4楼(近北京西路),54,1,http://api.map.baidu.com/place/detail?uid=22e11407a918a5add5b74ec1&output=html&source=placeapi_v2,,,27,,31.237054558977,121.46122331274,好乐迪(江宁路店),4.5,108,,22e11407a918a5add5b74ec1,休闲娱乐;ktv,,life,22e11407a918a5add5b74ec1
